Domain,Area,Element,Item,Year,Prod_Unit,Production_Value,Price_Unit,Price_Value,Import_Unit,Import_Q,Export_Unit,Export_Q,Temp_Change_Unit,Temp_Change_Value
Crops,Brunei Darussalam,Area harvested,Bananas,2000,ha,140.0,USD,823.7,tonnes,50.0,tonnes,0.0,Â°C,0.44799999999999995
Crops,Brunei Darussalam,Area harvested,Bananas,2000,ha,140.0,PriceIndex,74.43,tonnes,50.0,tonnes,0.0,Â°C,0.44799999999999995
Crops,Brunei Darussalam,Production,Bananas,2000,tonnes,542.0,USD,823.7,tonnes,50.0,tonnes,0.0,Â°C,0.44799999999999995
Crops,Brunei Darussalam,Production,Bananas,2000,tonnes,542.0,PriceIndex,74.43,tonnes,50.0,tonnes,0.0,Â°C,0.44799999999999995
Livestock Primary,Brunei Darussalam,Laying,"Eggs, hen, in shell",2000,1000 Head,1200.0,USD,1628.2,tonnes,600.0,tonnes,0.0,Â°C,0.44799999999999995
Livestock Primary,Brunei Darussalam,Laying,"Eggs, hen, in shell",2000,1000 Head,1200.0,PriceIndex,77.12,tonnes,600.0,tonnes,0.0,Â°C,0.44799999999999995
Livestock Primary,Brunei Darussalam,Production,"Eggs, hen, in shell",2000,tonnes,4800.0,USD,1628.2,tonnes,600.0,tonnes,0.0,Â°C,0.44799999999999995
Livestock Primary,Brunei Darussalam,Production,"Eggs, hen, in shell",2000,tonnes,4800.0,PriceIndex,77.12,tonnes,600.0,tonnes,0.0,Â°C,0.44799999999999995
Livestock Primary,Brunei Darussalam,Producing Animals/Slaughtered,"Meat, cattle",2000,Head,21400.0,USD,3816.8,tonnes,20.0,tonnes,0.0,Â°C,0.44799999999999995
Livestock Primary,Brunei Darussalam,Producing Animals/Slaughtered,"Meat, cattle",2000,Head,21400.0,PriceIndex,41.24,tonnes,20.0,tonnes,0.0,Â°C,0.44799999999999995
Livestock Primary,Brunei Darussalam,Production,"Meat, cattle",2000,tonnes,3210.0,USD,3816.8,tonnes,20.0,tonnes,0.0,Â°C,0.44799999999999995
Livestock Primary,Brunei Darussalam,Production,"Meat, cattle",2000,tonnes,3210.0,PriceIndex,41.24,tonnes,20.0,tonnes,0.0,Â°C,0.44799999999999995
Livestock Primary,Brunei Darussalam,Producing Animals/Slaughtered,"Meat, chicken",2000,1000 Head,12507.0,USD,2807.5,tonnes,920.0,tonnes,17.0,Â°C,0.44799999999999995
Livestock Primary,Brunei Darussalam,Producing Animals/Slaughtered,"Meat, chicken",2000,1000 Head,12507.0,PriceIndex,95.22,tonnes,920.0,tonnes,17.0,Â°C,0.44799999999999995
Livestock Primary,Brunei Darussalam,Production,"Meat, chicken",2000,tonnes,11256.0,USD,2807.5,tonnes,920.0,tonnes,17.0,Â°C,0.44799999999999995
Livestock Primary,Brunei Darussalam,Production,"Meat, chicken",2000,tonnes,11256.0,PriceIndex,95.22,tonnes,920.0,tonnes,17.0,Â°C,0.44799999999999995
Livestock Primary,Brunei Darussalam,Milk Animals,"Milk, whole fresh cow",2000,Head,230.0,USD,1450.1,tonnes,1100.0,tonnes,0.0,Â°C,0.44799999999999995
Livestock Primary,Brunei Darussalam,Milk Animals,"Milk, whole fresh cow",2000,Head,230.0,PriceIndex,67.22,tonnes,1100.0,tonnes,0.0,Â°C,0.44799999999999995
Livestock Primary,Brunei Darussalam,Production,"Milk, whole fresh cow",2000,tonnes,95.0,USD,1450.1,tonnes,1100.0,tonnes,0.0,Â°C,0.44799999999999995
Livestock Primary,Brunei Darussalam,Production,"Milk, whole fresh cow",2000,tonnes,95.0,PriceIndex,67.22,tonnes,1100.0,tonnes,0.0,Â°C,0.44799999999999995
Crops,Brunei Darussalam,Area harvested,Bananas,2001,ha,180.0,USD,831.6,tonnes,290.0,tonnes,0.0,Â°C,0.541
Crops,Brunei Darussalam,Area harvested,Bananas,2001,ha,180.0,PriceIndex,78.09,tonnes,290.0,tonnes,0.0,Â°C,0.541
Crops,Brunei Darussalam,Production,Bananas,2001,tonnes,704.0,USD,831.6,tonnes,290.0,tonnes,0.0,Â°C,0.541
Crops,Brunei Darussalam,Production,Bananas,2001,tonnes,704.0,PriceIndex,78.09,tonnes,290.0,tonnes,0.0,Â°C,0.541
Livestock Primary,Brunei Darussalam,Laying,"Eggs, hen, in shell",2001,1000 Head,1442.0,USD,1762.5,tonnes,820.0,tonnes,0.0,Â°C,0.541
Livestock Primary,Brunei Darussalam,Laying,"Eggs, hen, in shell",2001,1000 Head,1442.0,PriceIndex,86.76,tonnes,820.0,tonnes,0.0,Â°C,0.541
Livestock Primary,Brunei Darussalam,Production,"Eggs, hen, in shell",2001,tonnes,5000.0,USD,1762.5,tonnes,820.0,tonnes,0.0,Â°C,0.541
Livestock Primary,Brunei Darussalam,Production,"Eggs, hen, in shell",2001,tonnes,5000.0,PriceIndex,86.76,tonnes,820.0,tonnes,0.0,Â°C,0.541
Livestock Primary,Brunei Darussalam,Producing Animals/Slaughtered,"Meat, cattle",2001,Head,20300.0,USD,6373.8,tonnes,0.0,tonnes,30.0,Â°C,0.541
Livestock Primary,Brunei Darussalam,Producing Animals/Slaughtered,"Meat, cattle",2001,Head,20300.0,PriceIndex,71.57,tonnes,0.0,tonnes,30.0,Â°C,0.541
Livestock Primary,Brunei Darussalam,Production,"Meat, cattle",2001,tonnes,3045.0,USD,6373.8,tonnes,0.0,tonnes,30.0,Â°C,0.541
Livestock Primary,Brunei Darussalam,Production,"Meat, cattle",2001,tonnes,3045.0,PriceIndex,71.57,tonnes,0.0,tonnes,30.0,Â°C,0.541
Livestock Primary,Brunei Darussalam,Producing Animals/Slaughtered,"Meat, chicken",2001,1000 Head,15099.0,USD,2478.1,tonnes,700.0,tonnes,25.0,Â°C,0.541
Livestock Primary,Brunei Darussalam,Producing Animals/Slaughtered,"Meat, chicken",2001,1000 Head,15099.0,PriceIndex,87.35,tonnes,700.0,tonnes,25.0,Â°C,0.541
Livestock Primary,Brunei Darussalam,Production,"Meat, chicken",2001,tonnes,13589.0,USD,2478.1,tonnes,700.0,tonnes,25.0,Â°C,0.541
Livestock Primary,Brunei Darussalam,Production,"Meat, chicken",2001,tonnes,13589.0,PriceIndex,87.35,tonnes,700.0,tonnes,25.0,Â°C,0.541
Livestock Primary,Brunei Darussalam,Milk Animals,"Milk, whole fresh cow",2001,Head,270.0,USD,1395.3,tonnes,1150.0,tonnes,14.0,Â°C,0.541
Livestock Primary,Brunei Darussalam,Milk Animals,"Milk, whole fresh cow",2001,Head,270.0,PriceIndex,67.22,tonnes,1150.0,tonnes,14.0,Â°C,0.541
Livestock Primary,Brunei Darussalam,Production,"Milk, whole fresh cow",2001,tonnes,121.0,USD,1395.3,tonnes,1150.0,tonnes,14.0,Â°C,0.541
Livestock Primary,Brunei Darussalam,Production,"Milk, whole fresh cow",2001,tonnes,121.0,PriceIndex,67.22,tonnes,1150.0,tonnes,14.0,Â°C,0.541
Crops,Brunei Darussalam,Area harvested,Bananas,2002,ha,182.0,USD,781.9,tonnes,683.0,tonnes,0.0,Â°C,0.6779999999999999
Crops,Brunei Darussalam,Area harvested,Bananas,2002,ha,182.0,PriceIndex,73.38,tonnes,683.0,tonnes,0.0,Â°C,0.6779999999999999
Crops,Brunei Darussalam,Production,Bananas,2002,tonnes,714.0,USD,781.9,tonnes,683.0,tonnes,0.0,Â°C,0.6779999999999999
Crops,Brunei Darussalam,Production,Bananas,2002,tonnes,714.0,PriceIndex,73.38,tonnes,683.0,tonnes,0.0,Â°C,0.6779999999999999
Livestock Primary,Brunei Darussalam,Laying,"Eggs, hen, in shell",2002,1000 Head,1450.0,USD,1567.6,tonnes,3004.0,tonnes,3.0,Â°C,0.6779999999999999
Livestock Primary,Brunei Darussalam,Laying,"Eggs, hen, in shell",2002,1000 Head,1450.0,PriceIndex,77.12,tonnes,3004.0,tonnes,3.0,Â°C,0.6779999999999999
Livestock Primary,Brunei Darussalam,Production,"Eggs, hen, in shell",2002,tonnes,5800.0,USD,1567.6,tonnes,3004.0,tonnes,3.0,Â°C,0.6779999999999999
Livestock Primary,Brunei Darussalam,Production,"Eggs, hen, in shell",2002,tonnes,5800.0,PriceIndex,77.12,tonnes,3004.0,tonnes,3.0,Â°C,0.6779999999999999
Livestock Primary,Brunei Darussalam,Producing Animals/Slaughtered,"Meat, cattle",2002,Head,21000.0,USD,3797.6,tonnes,0.0,tonnes,22.0,Â°C,0.6779999999999999
Livestock Primary,Brunei Darussalam,Producing Animals/Slaughtered,"Meat, cattle",2002,Head,21000.0,PriceIndex,42.62,tonnes,0.0,tonnes,22.0,Â°C,0.6779999999999999
Livestock Primary,Brunei Darussalam,Production,"Meat, cattle",2002,tonnes,3150.0,USD,3797.6,tonnes,0.0,tonnes,22.0,Â°C,0.6779999999999999
Livestock Primary,Brunei Darussalam,Production,"Meat, cattle",2002,tonnes,3150.0,PriceIndex,42.62,tonnes,0.0,tonnes,22.0,Â°C,0.6779999999999999
Livestock Primary,Brunei Darussalam,Producing Animals/Slaughtered,"Meat, chicken",2002,1000 Head,13685.0,USD,2429.4,tonnes,39.0,tonnes,0.0,Â°C,0.6779999999999999
Livestock Primary,Brunei Darussalam,Producing Animals/Slaughtered,"Meat, chicken",2002,1000 Head,13685.0,PriceIndex,85.58,tonnes,39.0,tonnes,0.0,Â°C,0.6779999999999999
Livestock Primary,Brunei Darussalam,Production,"Meat, chicken",2002,tonnes,16422.0,USD,2429.4,tonnes,39.0,tonnes,0.0,Â°C,0.6779999999999999
Livestock Primary,Brunei Darussalam,Production,"Meat, chicken",2002,tonnes,16422.0,PriceIndex,85.58,tonnes,39.0,tonnes,0.0,Â°C,0.6779999999999999
Livestock Primary,Brunei Darussalam,Milk Animals,"Milk, whole fresh cow",2002,Head,260.0,USD,1396.2,tonnes,7.0,tonnes,7.0,Â°C,0.6779999999999999
Livestock Primary,Brunei Darussalam,Milk Animals,"Milk, whole fresh cow",2002,Head,260.0,PriceIndex,67.22,tonnes,7.0,tonnes,7.0,Â°C,0.6779999999999999
Livestock Primary,Brunei Darussalam,Production,"Milk, whole fresh cow",2002,tonnes,115.0,USD,1396.2,tonnes,7.0,tonnes,7.0,Â°C,0.6779999999999999
Livestock Primary,Brunei Darussalam,Production,"Milk, whole fresh cow",2002,tonnes,115.0,PriceIndex,67.22,tonnes,7.0,tonnes,7.0,Â°C,0.6779999999999999
Crops,Brunei Darussalam,Area harvested,Bananas,2003,ha,200.0,USD,792.1,tonnes,860.0,tonnes,0.0,Â°C,0.8
Crops,Brunei Darussalam,Area harvested,Bananas,2003,ha,200.0,PriceIndex,72.33,tonnes,860.0,tonnes,0.0,Â°C,0.8
Crops,Brunei Darussalam,Production,Bananas,2003,tonnes,792.0,USD,792.1,tonnes,860.0,tonnes,0.0,Â°C,0.8
Crops,Brunei Darussalam,Production,Bananas,2003,tonnes,792.0,PriceIndex,72.33,tonnes,860.0,tonnes,0.0,Â°C,0.8
Livestock Primary,Brunei Darussalam,Laying,"Eggs, hen, in shell",2003,1000 Head,1400.0,USD,1510.5,tonnes,945.0,tonnes,4.0,Â°C,0.8
Livestock Primary,Brunei Darussalam,Laying,"Eggs, hen, in shell",2003,1000 Head,1400.0,PriceIndex,72.3,tonnes,945.0,tonnes,4.0,Â°C,0.8
Livestock Primary,Brunei Darussalam,Production,"Eggs, hen, in shell",2003,tonnes,6000.0,USD,1510.5,tonnes,945.0,tonnes,4.0,Â°C,0.8
Livestock Primary,Brunei Darussalam,Production,"Eggs, hen, in shell",2003,tonnes,6000.0,PriceIndex,72.3,tonnes,945.0,tonnes,4.0,Â°C,0.8
Livestock Primary,Brunei Darussalam,Producing Animals/Slaughtered,"Meat, cattle",2003,Head,21500.0,PriceIndex,42.78,tonnes,13.0,tonnes,12.0,Â°C,0.8
Livestock Primary,Brunei Darussalam,Production,"Meat, cattle",2003,tonnes,3225.0,PriceIndex,42.78,tonnes,13.0,tonnes,12.0,Â°C,0.8
Livestock Primary,Brunei Darussalam,Producing Animals/Slaughtered,"Meat, chicken",2003,1000 Head,15435.0,USD,2330.4,tonnes,56.0,tonnes,1.0,Â°C,0.8
Livestock Primary,Brunei Darussalam,Producing Animals/Slaughtered,"Meat, chicken",2003,1000 Head,15435.0,PriceIndex,79.88,tonnes,56.0,tonnes,1.0,Â°C,0.8
Livestock Primary,Brunei Darussalam,Production,"Meat, chicken",2003,tonnes,18522.0,USD,2330.4,tonnes,56.0,tonnes,1.0,Â°C,0.8
Livestock Primary,Brunei Darussalam,Production,"Meat, chicken",2003,tonnes,18522.0,PriceIndex,79.88,tonnes,56.0,tonnes,1.0,Â°C,0.8
Livestock Primary,Brunei Darussalam,Milk Animals,"Milk, whole fresh cow",2003,Head,230.0,USD,1435.0,tonnes,37.0,tonnes,0.0,Â°C,0.8
Livestock Primary,Brunei Darussalam,Milk Animals,"Milk, whole fresh cow",2003,Head,230.0,PriceIndex,67.22,tonnes,37.0,tonnes,0.0,Â°C,0.8
Livestock Primary,Brunei Darussalam,Production,"Milk, whole fresh cow",2003,tonnes,98.0,USD,1435.0,tonnes,37.0,tonnes,0.0,Â°C,0.8
Livestock Primary,Brunei Darussalam,Production,"Milk, whole fresh cow",2003,tonnes,98.0,PriceIndex,67.22,tonnes,37.0,tonnes,0.0,Â°C,0.8
