Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","26","Brunei Darussalam","5532","Producer Price (USD/tonne)","486","Bananas","2000","2000","7021","Annual value","USD","823.7","","Official data"
"PP","Producer Prices","26","Brunei Darussalam","5532","Producer Price (USD/tonne)","125","Cassava","2000","2000","7021","Annual value","USD","794.7","","Official data"
"PP","Producer Prices","26","Brunei Darussalam","5532","Producer Price (USD/tonne)","1062","Eggs, hen, in shell","2000","2000","7021","Annual value","USD","1628.2","","Official data"
"PP","Producer Prices","26","Brunei Darussalam","5532","Producer Price (USD/tonne)","56","Maize","2000","2000","7021","Annual value","USD","284.2","","Official data"
"PP","Producer Prices","26","Brunei Darussalam","5532","Producer Price (USD/tonne)","867","Meat, cattle","2000","2000","7021","Annual value","USD","3816.8","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5532","Producer Price (USD/tonne)","1058","Meat, chicken","2000","2000","7021","Annual value","USD","2807.5","","Official data"
"PP","Producer Prices","26","Brunei Darussalam","5532","Producer Price (USD/tonne)","1069","Meat, duck","2000","2000","7021","Annual value","USD","5842","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5532","Producer Price (USD/tonne)","1017","Meat, goat","2000","2000","7021","Annual value","USD","7743.8","","Official data"
"PP","Producer Prices","26","Brunei Darussalam","5532","Producer Price (USD/tonne)","882","Milk, whole fresh cow","2000","2000","7021","Annual value","USD","1450.1","","Official data"
"PP","Producer Prices","26","Brunei Darussalam","5532","Producer Price (USD/tonne)","402","Onions, shallots, green","2000","2000","7021","Annual value","USD","4866.7","","Official data"
"PP","Producer Prices","26","Brunei Darussalam","5532","Producer Price (USD/tonne)","27","Rice, paddy","2000","2000","7021","Annual value","USD","1792.4","","Official data"
"PP","Producer Prices","26","Brunei Darussalam","5532","Producer Price (USD/tonne)","486","Bananas","2001","2001","7021","Annual value","USD","831.6","","Official data"
"PP","Producer Prices","26","Brunei Darussalam","5532","Producer Price (USD/tonne)","125","Cassava","2001","2001","7021","Annual value","USD","747.9","","Official data"
"PP","Producer Prices","26","Brunei Darussalam","5532","Producer Price (USD/tonne)","1062","Eggs, hen, in shell","2001","2001","7021","Annual value","USD","1762.5","","Official data"
"PP","Producer Prices","26","Brunei Darussalam","5532","Producer Price (USD/tonne)","56","Maize","2001","2001","7021","Annual value","USD","329.3","","Official data"
"PP","Producer Prices","26","Brunei Darussalam","5532","Producer Price (USD/tonne)","867","Meat, cattle","2001","2001","7021","Annual value","USD","6373.8","","Official data"
"PP","Producer Prices","26","Brunei Darussalam","5532","Producer Price (USD/tonne)","1058","Meat, chicken","2001","2001","7021","Annual value","USD","2478.1","","Official data"
"PP","Producer Prices","26","Brunei Darussalam","5532","Producer Price (USD/tonne)","1069","Meat, duck","2001","2001","7021","Annual value","USD","4760","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5532","Producer Price (USD/tonne)","1017","Meat, goat","2001","2001","7021","Annual value","USD","6213.7","Fc","Calculated data"
"PP","Producer Prices","26","Brunei Darussalam","5532","Producer Price (USD/tonne)","882","Milk, whole fresh cow","2001","2001","7021","Annual value","USD","1395.3","","Official data"
