Area,Item,Year,Export_V(1000USD),Import_V(1000USD)
Brunei Darussalam,Bananas,2008,0.0,32.0
Brunei Darussalam,Bananas,2009,0.0,32.0
Brunei Darussalam,Bananas,2010,0.0,102.0
Brunei Darussalam,Bananas,2011,0.0,108.0
Brunei Darussalam,Bananas,2012,0.0,100.0
Brunei Darussalam,Bananas,2013,0.0,1455.0
Brunei Darussalam,"Eggs, hen, in shell",2008,0.0,1221.0
Brunei Darussalam,"Eggs, hen, in shell",2009,0.0,902.0
Brunei Darussalam,"Eggs, hen, in shell",2010,0.0,1868.0
Brunei Darussalam,"Eggs, hen, in shell",2011,0.0,2852.0
Brunei Darussalam,"Eggs, hen, in shell",2012,0.0,4199.0
Brunei Darussalam,"Eggs, hen, in shell",2013,0.0,4097.0
Brunei Darussalam,Garlic,2008,4.0,736.0
Brunei Darussalam,Garlic,2009,4.0,848.0
Brunei Darussalam,Garlic,2010,4.0,2155.0
Brunei Darussalam,Garlic,2011,4.0,1581.0
Brunei Darussalam,Garlic,2012,0.0,1056.0
Brunei Darussalam,Garlic,2013,147.0,869.0
Brunei Darussalam,Garlic,2014,683.0,981.0
Brunei Darussalam,Garlic,2015,3.0,1109.0
Brunei Darussalam,Garlic,2016,25.0,1570.0
Brunei Darussalam,Garlic,2018,3.0,563.0
Brunei Darussalam,Maize,2008,0.0,143.0
Brunei Darussalam,Maize,2009,0.0,344.0
Brunei Darussalam,Maize,2010,0.0,1233.0
Brunei Darussalam,Maize,2011,0.0,2363.0
Brunei Darussalam,Maize,2012,0.0,1980.0
Brunei Darussalam,Maize,2013,1.0,2346.0
Brunei Darussalam,Maize,2014,1.0,4370.0
Brunei Darussalam,Maize,2015,0.0,402.0
Brunei Darussalam,Maize,2016,25.0,331.0
Brunei Darussalam,Maize,2017,107.0,222.0
Brunei Darussalam,Maize,2018,96.0,248.0
Brunei Darussalam,"Meat, cattle",2008,0.0,633.0
Brunei Darussalam,"Meat, cattle",2009,0.0,633.0
Brunei Darussalam,"Meat, cattle",2010,0.0,729.0
Brunei Darussalam,"Meat, cattle",2011,0.0,756.0
Brunei Darussalam,"Meat, cattle",2012,0.0,790.0
Brunei Darussalam,"Meat, cattle",2013,74.0,1066.0
Brunei Darussalam,"Meat, cattle",2014,54.0,597.0
Brunei Darussalam,"Meat, cattle",2015,31.0,342.0
Brunei Darussalam,"Meat, chicken",2008,0.0,480.0
Brunei Darussalam,"Meat, chicken",2009,0.0,1355.0
Brunei Darussalam,"Meat, chicken",2010,0.0,996.0
Brunei Darussalam,"Meat, chicken",2011,0.0,1747.0
Brunei Darussalam,"Meat, chicken",2012,0.0,1810.0
Brunei Darussalam,"Meat, chicken",2013,73.0,2092.0
Brunei Darussalam,"Meat, chicken",2018,2.0,3138.0
Brunei Darussalam,"Meat, sheep",2008,0.0,2464.0
Brunei Darussalam,"Meat, sheep",2009,0.0,3296.0
Brunei Darussalam,"Meat, sheep",2010,0.0,5022.0
Brunei Darussalam,"Meat, sheep",2011,0.0,5888.0
Brunei Darussalam,"Meat, sheep",2012,0.0,5987.0
Brunei Darussalam,"Meat, sheep",2013,1.0,4829.0
Brunei Darussalam,"Meat, sheep",2018,1.0,6768.0
Brunei Darussalam,"Milk, whole fresh cow",2008,2.0,823.0
Brunei Darussalam,"Milk, whole fresh cow",2009,2.0,1029.0
Brunei Darussalam,"Milk, whole fresh cow",2010,2.0,1235.0
Brunei Darussalam,"Milk, whole fresh cow",2011,2.0,1598.0
Brunei Darussalam,"Milk, whole fresh cow",2012,2.0,2287.0
Brunei Darussalam,"Milk, whole fresh cow",2013,819.0,705.0
Brunei Darussalam,"Milk, whole fresh cow",2014,2515.0,591.0
Brunei Darussalam,"Milk, whole fresh cow",2015,0.0,776.0
Brunei Darussalam,"Milk, whole fresh cow",2016,4.0,384.0
Brunei Darussalam,"Milk, whole fresh cow",2017,0.0,700.0
Brunei Darussalam,"Milk, whole fresh cow",2018,1.0,1200.0
Brunei Darussalam,"Oil, palm kernel",2008,0.0,1.0
Brunei Darussalam,"Oil, palm kernel",2009,0.0,16.0
Brunei Darussalam,"Oil, palm kernel",2010,0.0,71.0
Brunei Darussalam,"Oil, palm kernel",2011,0.0,581.0
Brunei Darussalam,"Oil, palm kernel",2012,0.0,1184.0
Brunei Darussalam,"Oil, palm kernel",2013,28.0,181.0
Brunei Darussalam,"Onions, dry",2008,1.0,1658.0
Brunei Darussalam,"Onions, dry",2009,1.0,1875.0
Brunei Darussalam,"Onions, dry",2010,1.0,2715.0
Brunei Darussalam,"Onions, dry",2011,1.0,2508.0
Brunei Darussalam,"Onions, dry",2012,1.0,3545.0
Brunei Darussalam,"Onions, dry",2013,1077.0,7698.0
Brunei Darussalam,"Onions, dry",2014,2304.0,7614.0
Brunei Darussalam,"Onions, dry",2015,44.0,3488.0
Brunei Darussalam,"Onions, dry",2016,43.0,2767.0
Brunei Darussalam,"Onions, dry",2017,6.0,2219.0
Brunei Darussalam,"Onions, dry",2018,0.0,2818.0
Brunei Darussalam,"Rice, paddy",2014,3.0,1.0
Brunei Darussalam,"Rice, paddy",2017,0.0,129.0
Cambodia,Bananas,2008,,0.0
Cambodia,Bananas,2009,,0.0
Cambodia,Bananas,2010,,0.0
Cambodia,Bananas,2011,0.0,0.0
Cambodia,Bananas,2012,0.0,7.0
Cambodia,Bananas,2013,0.0,0.0
Cambodia,Bananas,2016,7.0,1.0
Cambodia,Bananas,2017,5710.0,1.0
Cambodia,"Eggs, hen, in shell",2017,6.0,319.0
Cambodia,Garlic,2008,0.0,0.0
Cambodia,Garlic,2009,0.0,0.0
Cambodia,Garlic,2010,0.0,278.0
Cambodia,Garlic,2011,0.0,447.0
Cambodia,Garlic,2012,0.0,418.0
Cambodia,Garlic,2013,0.0,1192.0
Cambodia,Maize,2008,32036.0,6000.0
Cambodia,Maize,2009,9339.0,4500.0
Cambodia,Maize,2010,26357.0,1217.0
Cambodia,Maize,2011,4244.0,2243.0
Cambodia,Maize,2012,5665.0,2379.0
Cambodia,Maize,2013,1470.0,2762.0
Cambodia,Maize,2014,675.0,1009.0
Cambodia,Maize,2015,609.0,802.0
Cambodia,Maize,2016,483.0,3691.0
Cambodia,Maize,2017,13097.0,7742.0
Cambodia,Maize,2018,18029.0,5242.0
Cambodia,"Meat, cattle",2008,0.0,259.0
Cambodia,"Meat, cattle",2009,0.0,77.0
Cambodia,"Meat, cattle",2010,0.0,62.0
Cambodia,"Meat, cattle",2011,0.0,59.0
Cambodia,"Meat, cattle",2012,0.0,26.0
Cambodia,"Meat, cattle",2013,0.0,54.0
Cambodia,"Meat, cattle",2016,578.0,845.0
Cambodia,"Meat, chicken",2008,0.0,106.0
Cambodia,"Meat, chicken",2009,0.0,103.0
Cambodia,"Meat, chicken",2010,0.0,270.0
Cambodia,"Meat, chicken",2011,0.0,661.0
