Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP","Crops and livestock products","26","Brunei Darussalam","5910","Export Quantity","486","Bananas","2000","2000","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5910","Export Quantity","486","Bananas","2001","2001","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5910","Export Quantity","486","Bananas","2002","2002","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5910","Export Quantity","486","Bananas","2003","2003","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5910","Export Quantity","486","Bananas","2004","2004","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5910","Export Quantity","486","Bananas","2005","2005","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5910","Export Quantity","486","Bananas","2006","2006","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5910","Export Quantity","486","Bananas","2007","2007","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5910","Export Quantity","486","Bananas","2008","2008","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5910","Export Quantity","486","Bananas","2009","2009","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5910","Export Quantity","486","Bananas","2010","2010","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5910","Export Quantity","486","Bananas","2011","2011","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5910","Export Quantity","486","Bananas","2012","2012","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5910","Export Quantity","486","Bananas","2013","2013","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5910","Export Quantity","1062","Eggs, hen, in shell","2000","2000","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5910","Export Quantity","1062","Eggs, hen, in shell","2001","2001","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5910","Export Quantity","1062","Eggs, hen, in shell","2002","2002","tonnes","3","*","Unofficial figure"
"TP","Crops and livestock products","26","Brunei Darussalam","5910","Export Quantity","1062","Eggs, hen, in shell","2003","2003","tonnes","4","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5910","Export Quantity","1062","Eggs, hen, in shell","2004","2004","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5910","Export Quantity","1062","Eggs, hen, in shell","2005","2005","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5910","Export Quantity","1062","Eggs, hen, in shell","2006","2006","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5910","Export Quantity","1062","Eggs, hen, in shell","2007","2007","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5910","Export Quantity","1062","Eggs, hen, in shell","2008","2008","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5910","Export Quantity","1062","Eggs, hen, in shell","2009","2009","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5910","Export Quantity","1062","Eggs, hen, in shell","2010","2010","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5910","Export Quantity","1062","Eggs, hen, in shell","2011","2011","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5910","Export Quantity","1062","Eggs, hen, in shell","2012","2012","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5910","Export Quantity","1062","Eggs, hen, in shell","2013","2013","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5910","Export Quantity","406","Garlic","2000","2000","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5910","Export Quantity","406","Garlic","2001","2001","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5910","Export Quantity","406","Garlic","2002","2002","tonnes","0","F","FAO estimate"
