Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","486","Bananas","2008","2008","1000 US$","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","486","Bananas","2009","2009","1000 US$","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","486","Bananas","2010","2010","1000 US$","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","486","Bananas","2011","2011","1000 US$","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","486","Bananas","2012","2012","1000 US$","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","486","Bananas","2013","2013","1000 US$","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","1062","Eggs, hen, in shell","2008","2008","1000 US$","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","1062","Eggs, hen, in shell","2009","2009","1000 US$","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","1062","Eggs, hen, in shell","2010","2010","1000 US$","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","1062","Eggs, hen, in shell","2011","2011","1000 US$","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","1062","Eggs, hen, in shell","2012","2012","1000 US$","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","1062","Eggs, hen, in shell","2013","2013","1000 US$","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","406","Garlic","2008","2008","1000 US$","4","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","406","Garlic","2009","2009","1000 US$","4","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","406","Garlic","2010","2010","1000 US$","4","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","406","Garlic","2011","2011","1000 US$","4","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","406","Garlic","2012","2012","1000 US$","0","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","406","Garlic","2013","2013","1000 US$","147","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","406","Garlic","2014","2014","1000 US$","683","","Official data"
