Domain,Area,Element,Item,Year,Price_Unit,Price_Value,Flag,Flag Description
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),Bananas,2000,USD,823.7,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),Cassava,2000,USD,794.7,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Eggs, hen, in shell",2000,USD,1628.2,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),Maize,2000,USD,284.2,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, cattle",2000,USD,3816.8,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, chicken",2000,USD,2807.5,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, duck",2000,USD,5842.0,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, goat",2000,USD,7743.8,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Milk, whole fresh cow",2000,USD,1450.1,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Onions, shallots, green",2000,USD,4866.7,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Rice, paddy",2000,USD,1792.4,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),Bananas,2001,USD,831.6,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),Cassava,2001,USD,747.9,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Eggs, hen, in shell",2001,USD,1762.5,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),Maize,2001,USD,329.3,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, cattle",2001,USD,6373.8,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, chicken",2001,USD,2478.1,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, duck",2001,USD,4760.0,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, goat",2001,USD,6213.7,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Milk, whole fresh cow",2001,USD,1395.3,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Onions, shallots, green",2001,USD,4219.4,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Rice, paddy",2001,USD,1758.1,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),Bananas,2002,USD,781.9,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),Cassava,2002,USD,731.6,,Official data
