Domain,Area,Element,Item,Year,Production_Unit,Production_Value,Flag,Flag Description
Crops,Brunei Darussalam,Area harvested,Bananas,2000,ha,140.0,F,FAO estimate
Crops,Brunei Darussalam,Area harvested,Bananas,2001,ha,180.0,F,FAO estimate
Crops,Brunei Darussalam,Area harvested,Bananas,2002,ha,182.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Area harvested,Bananas,2003,ha,200.0,F,FAO estimate
Crops,Brunei Darussalam,Area harvested,Bananas,2004,ha,190.0,F,FAO estimate
Crops,Brunei Darussalam,Area harvested,Bananas,2005,ha,180.0,F,FAO estimate
Crops,Brunei Darussalam,Area harvested,Bananas,2006,ha,200.0,F,FAO estimate
Crops,Brunei Darussalam,Area harvested,Bananas,2007,ha,243.0,F,FAO estimate
Crops,Brunei Darussalam,Area harvested,Bananas,2008,ha,250.0,F,FAO estimate
Crops,Brunei Darussalam,Area harvested,Bananas,2009,ha,250.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Area harvested,Bananas,2010,ha,254.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Area harvested,Bananas,2011,ha,259.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Area harvested,Bananas,2012,ha,260.0,F,FAO estimate
Crops,Brunei Darussalam,Area harvested,Bananas,2013,ha,303.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Area harvested,Bananas,2014,ha,286.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Area harvested,Bananas,2015,ha,413.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Area harvested,Bananas,2016,ha,540.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Area harvested,Bananas,2017,ha,614.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Area harvested,Bananas,2018,ha,624.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Production,Bananas,2000,tonnes,542.0,F,FAO estimate
Crops,Brunei Darussalam,Production,Bananas,2001,tonnes,704.0,F,FAO estimate
Crops,Brunei Darussalam,Production,Bananas,2002,tonnes,714.0,F,FAO estimate
Crops,Brunei Darussalam,Production,Bananas,2003,tonnes,792.0,F,FAO estimate
Crops,Brunei Darussalam,Production,Bananas,2004,tonnes,771.0,,Official data
Crops,Brunei Darussalam,Production,Bananas,2005,tonnes,720.0,,Official data
Crops,Brunei Darussalam,Production,Bananas,2006,tonnes,794.0,,Official data
Crops,Brunei Darussalam,Production,Bananas,2007,tonnes,756.0,F,FAO estimate
Crops,Brunei Darussalam,Production,Bananas,2008,tonnes,800.0,F,FAO estimate
Crops,Brunei Darussalam,Production,Bananas,2009,tonnes,839.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Production,Bananas,2010,tonnes,843.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Production,Bananas,2011,tonnes,852.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Production,Bananas,2012,tonnes,850.0,F,FAO estimate
Crops,Brunei Darussalam,Production,Bananas,2013,tonnes,966.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Production,Bananas,2014,tonnes,889.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Production,Bananas,2015,tonnes,1269.0,,Official data
Crops,Brunei Darussalam,Production,Bananas,2016,tonnes,1630.0,,Official data
Crops,Brunei Darussalam,Production,Bananas,2017,tonnes,1822.0,,Official data
Crops,Brunei Darussalam,Production,Bananas,2018,tonnes,1822.0,,Official data
Crops,Brunei Darussalam,Area harvested,Cassava,2000,ha,140.0,F,FAO estimate
Crops,Brunei Darussalam,Area harvested,Cassava,2001,ha,132.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Area harvested,Cassava,2002,ha,150.0,F,FAO estimate
Crops,Brunei Darussalam,Area harvested,Cassava,2003,ha,160.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Area harvested,Cassava,2004,ha,170.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Area harvested,Cassava,2005,ha,184.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Area harvested,Cassava,2006,ha,180.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Area harvested,Cassava,2007,ha,184.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Area harvested,Cassava,2008,ha,192.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Area harvested,Cassava,2009,ha,193.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Area harvested,Cassava,2010,ha,199.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Area harvested,Cassava,2011,ha,189.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Area harvested,Cassava,2012,ha,180.0,F,FAO estimate
Crops,Brunei Darussalam,Area harvested,Cassava,2013,ha,185.0,F,FAO estimate
Crops,Brunei Darussalam,Area harvested,Cassava,2014,ha,185.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Area harvested,Cassava,2015,ha,184.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Area harvested,Cassava,2016,ha,179.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Area harvested,Cassava,2017,ha,178.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Area harvested,Cassava,2018,ha,176.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Production,Cassava,2000,tonnes,1700.0,F,FAO estimate
Crops,Brunei Darussalam,Production,Cassava,2001,tonnes,1600.0,F,FAO estimate
Crops,Brunei Darussalam,Production,Cassava,2002,tonnes,1800.0,F,FAO estimate
Crops,Brunei Darussalam,Production,Cassava,2003,tonnes,1974.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Production,Cassava,2004,tonnes,2133.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Production,Cassava,2005,tonnes,2345.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Production,Cassava,2006,tonnes,2485.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Production,Cassava,2007,tonnes,2635.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Production,Cassava,2008,tonnes,2835.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Production,Cassava,2009,tonnes,2929.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Production,Cassava,2010,tonnes,3100.0,F,FAO estimate
Crops,Brunei Darussalam,Production,Cassava,2011,tonnes,3017.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Production,Cassava,2012,tonnes,3000.0,F,FAO estimate
Crops,Brunei Darussalam,Production,Cassava,2013,tonnes,3000.0,F,FAO estimate
Crops,Brunei Darussalam,Production,Cassava,2014,tonnes,3023.0,Im,FAO data based on imputation methodology
Crops,Brunei Darussalam,Production,Cassava,2015,tonnes,3243.0,Im,FAO data based on imputation methodology
