Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","486","Bananas","2000","2000","tonnes","50","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","486","Bananas","2001","2001","tonnes","290","*","Unofficial figure"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","486","Bananas","2002","2002","tonnes","683","*","Unofficial figure"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","486","Bananas","2003","2003","tonnes","860","*","Unofficial figure"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","486","Bananas","2004","2004","tonnes","214","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","486","Bananas","2005","2005","tonnes","549","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","486","Bananas","2006","2006","tonnes","1559","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","486","Bananas","2007","2007","tonnes","213","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","486","Bananas","2008","2008","tonnes","90","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","486","Bananas","2009","2009","tonnes","90","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","486","Bananas","2010","2010","tonnes","270","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","486","Bananas","2011","2011","tonnes","253","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","486","Bananas","2012","2012","tonnes","299","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","486","Bananas","2013","2013","tonnes","1597","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","486","Bananas","2014","2014","tonnes","2147","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","486","Bananas","2015","2015","tonnes","2313","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","486","Bananas","2016","2016","tonnes","2822","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","486","Bananas","2017","2017","tonnes","1204","Im","FAO data based on imputation methodology"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","486","Bananas","2018","2018","tonnes","1769","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1062","Eggs, hen, in shell","2000","2000","tonnes","600","*","Unofficial figure"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1062","Eggs, hen, in shell","2001","2001","tonnes","820","*","Unofficial figure"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1062","Eggs, hen, in shell","2002","2002","tonnes","3004","*","Unofficial figure"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1062","Eggs, hen, in shell","2003","2003","tonnes","945","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1062","Eggs, hen, in shell","2004","2004","tonnes","1438","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1062","Eggs, hen, in shell","2005","2005","tonnes","1066","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1062","Eggs, hen, in shell","2006","2006","tonnes","937","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1062","Eggs, hen, in shell","2007","2007","tonnes","341","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1062","Eggs, hen, in shell","2008","2008","tonnes","624","R","Estimated data using trading partners database"
