Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2000","2000","ha","140","F","FAO estimate"
"QC","Crops","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2001","2001","ha","180","F","FAO estimate"
"QC","Crops","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2002","2002","ha","182","Im","FAO data based on imputation methodology"
"QC","Crops","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2003","2003","ha","200","F","FAO estimate"
"QC","Crops","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2004","2004","ha","190","F","FAO estimate"
"QC","Crops","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2005","2005","ha","180","F","FAO estimate"
"QC","Crops","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2006","2006","ha","200","F","FAO estimate"
"QC","Crops","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2007","2007","ha","243","F","FAO estimate"
"QC","Crops","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2008","2008","ha","250","F","FAO estimate"
"QC","Crops","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2009","2009","ha","250","Im","FAO data based on imputation methodology"
"QC","Crops","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2010","2010","ha","254","Im","FAO data based on imputation methodology"
"QC","Crops","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2011","2011","ha","259","Im","FAO data based on imputation methodology"
"QC","Crops","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2012","2012","ha","260","F","FAO estimate"
"QC","Crops","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2013","2013","ha","303","Im","FAO data based on imputation methodology"
"QC","Crops","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2014","2014","ha","286","Im","FAO data based on imputation methodology"
"QC","Crops","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2015","2015","ha","413","Im","FAO data based on imputation methodology"
"QC","Crops","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2016","2016","ha","540","Im","FAO data based on imputation methodology"
"QC","Crops","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2017","2017","ha","614","Im","FAO data based on imputation methodology"
"QC","Crops","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2018","2018","ha","624","Im","FAO data based on imputation methodology"
"QC","Crops","26","Brunei Darussalam","5510","Production","486","Bananas","2000","2000","tonnes","542","F","FAO estimate"
"QC","Crops","26","Brunei Darussalam","5510","Production","486","Bananas","2001","2001","tonnes","704","F","FAO estimate"
"QC","Crops","26","Brunei Darussalam","5510","Production","486","Bananas","2002","2002","tonnes","714","F","FAO estimate"
"QC","Crops","26","Brunei Darussalam","5510","Production","486","Bananas","2003","2003","tonnes","792","F","FAO estimate"
"QC","Crops","26","Brunei Darussalam","5510","Production","486","Bananas","2004","2004","tonnes","771","","Official data"
"QC","Crops","26","Brunei Darussalam","5510","Production","486","Bananas","2005","2005","tonnes","720","","Official data"
"QC","Crops","26","Brunei Darussalam","5510","Production","486","Bananas","2006","2006","tonnes","794","","Official data"
"QC","Crops","26","Brunei Darussalam","5510","Production","486","Bananas","2007","2007","tonnes","756","F","FAO estimate"
"QC","Crops","26","Brunei Darussalam","5510","Production","486","Bananas","2008","2008","tonnes","800","F","FAO estimate"
"QC","Crops","26","Brunei Darussalam","5510","Production","486","Bananas","2009","2009","tonnes","839","Im","FAO data based on imputation methodology"
"QC","Crops","26","Brunei Darussalam","5510","Production","486","Bananas","2010","2010","tonnes","843","Im","FAO data based on imputation methodology"
"QC","Crops","26","Brunei Darussalam","5510","Production","486","Bananas","2011","2011","tonnes","852","Im","FAO data based on imputation methodology"
"QC","Crops","26","Brunei Darussalam","5510","Production","486","Bananas","2012","2012","tonnes","850","F","FAO estimate"
"QC","Crops","26","Brunei Darussalam","5510","Production","486","Bananas","2013","2013","tonnes","966","Im","FAO data based on imputation methodology"
"QC","Crops","26","Brunei Darussalam","5510","Production","486","Bananas","2014","2014","tonnes","889","Im","FAO data based on imputation methodology"
"QC","Crops","26","Brunei Darussalam","5510","Production","486","Bananas","2015","2015","tonnes","1269","","Official data"
"QC","Crops","26","Brunei Darussalam","5510","Production","486","Bananas","2016","2016","tonnes","1630","","Official data"
"QC","Crops","26","Brunei Darussalam","5510","Production","486","Bananas","2017","2017","tonnes","1822","","Official data"
"QC","Crops","26","Brunei Darussalam","5510","Production","486","Bananas","2018","2018","tonnes","1822","","Official data"
"QC","Crops","26","Brunei Darussalam","5312","Area harvested","125","Cassava","2000","2000","ha","140","F","FAO estimate"
"QC","Crops","26","Brunei Darussalam","5312","Area harvested","125","Cassava","2001","2001","ha","132","Im","FAO data based on imputation methodology"
"QC","Crops","26","Brunei Darussalam","5312","Area harvested","125","Cassava","2002","2002","ha","150","F","FAO estimate"
"QC","Crops","26","Brunei Darussalam","5312","Area harvested","125","Cassava","2003","2003","ha","160","Im","FAO data based on imputation methodology"
"QC","Crops","26","Brunei Darussalam","5312","Area harvested","125","Cassava","2004","2004","ha","170","Im","FAO data based on imputation methodology"
"QC","Crops","26","Brunei Darussalam","5312","Area harvested","125","Cassava","2005","2005","ha","184","Im","FAO data based on imputation methodology"
"QC","Crops","26","Brunei Darussalam","5312","Area harvested","125","Cassava","2006","2006","ha","180","Im","FAO data based on imputation methodology"
"QC","Crops","26","Brunei Darussalam","5312","Area harvested","125","Cassava","2007","2007","ha","184","Im","FAO data based on imputation methodology"
"QC","Crops","26","Brunei Darussalam","5312","Area harvested","125","Cassava","2008","2008","ha","192","Im","FAO data based on imputation methodology"
"QC","Crops","26","Brunei Darussalam","5312","Area harvested","125","Cassava","2009","2009","ha","193","Im","FAO data based on imputation methodology"
"QC","Crops","26","Brunei Darussalam","5312","Area harvested","125","Cassava","2010","2010","ha","199","Im","FAO data based on imputation methodology"
"QC","Crops","26","Brunei Darussalam","5312","Area harvested","125","Cassava","2011","2011","ha","189","Im","FAO data based on imputation methodology"
"QC","Crops","26","Brunei Darussalam","5312","Area harvested","125","Cassava","2012","2012","ha","180","F","FAO estimate"
