Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QL","Livestock Primary","26","Brunei Darussalam","5313","Laying","1062","Eggs, hen, in shell","2000","2000","1000 Head","1200","F","FAO estimate"
"QL","Livestock Primary","26","Brunei Darussalam","5510","Production","1062","Eggs, hen, in shell","2000","2000","tonnes","4800","*","Unofficial figure"
"QL","Livestock Primary","26","Brunei Darussalam","5313","Laying","1062","Eggs, hen, in shell","2001","2001","1000 Head","1442","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","26","Brunei Darussalam","5510","Production","1062","Eggs, hen, in shell","2001","2001","tonnes","5000","*","Unofficial figure"
"QL","Livestock Primary","26","Brunei Darussalam","5313","Laying","1062","Eggs, hen, in shell","2002","2002","1000 Head","1450","F","FAO estimate"
"QL","Livestock Primary","26","Brunei Darussalam","5510","Production","1062","Eggs, hen, in shell","2002","2002","tonnes","5800","*","Unofficial figure"
"QL","Livestock Primary","26","Brunei Darussalam","5313","Laying","1062","Eggs, hen, in shell","2003","2003","1000 Head","1400","F","FAO estimate"
"QL","Livestock Primary","26","Brunei Darussalam","5510","Production","1062","Eggs, hen, in shell","2003","2003","tonnes","6000","*","Unofficial figure"
"QL","Livestock Primary","26","Brunei Darussalam","5313","Laying","1062","Eggs, hen, in shell","2004","2004","1000 Head","1574","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","26","Brunei Darussalam","5510","Production","1062","Eggs, hen, in shell","2004","2004","tonnes","5853","*","Unofficial figure"
"QL","Livestock Primary","26","Brunei Darussalam","5313","Laying","1062","Eggs, hen, in shell","2005","2005","1000 Head","1360","F","FAO estimate"
"QL","Livestock Primary","26","Brunei Darussalam","5510","Production","1062","Eggs, hen, in shell","2005","2005","tonnes","5703","*","Unofficial figure"
"QL","Livestock Primary","26","Brunei Darussalam","5313","Laying","1062","Eggs, hen, in shell","2006","2006","1000 Head","1550","F","FAO estimate"
"QL","Livestock Primary","26","Brunei Darussalam","5510","Production","1062","Eggs, hen, in shell","2006","2006","tonnes","6512","*","Unofficial figure"
"QL","Livestock Primary","26","Brunei Darussalam","5313","Laying","1062","Eggs, hen, in shell","2007","2007","1000 Head","1570","F","FAO estimate"
"QL","Livestock Primary","26","Brunei Darussalam","5510","Production","1062","Eggs, hen, in shell","2007","2007","tonnes","6300","*","Unofficial figure"
"QL","Livestock Primary","26","Brunei Darussalam","5313","Laying","1062","Eggs, hen, in shell","2008","2008","1000 Head","1600","F","FAO estimate"
"QL","Livestock Primary","26","Brunei Darussalam","5510","Production","1062","Eggs, hen, in shell","2008","2008","tonnes","6800","*","Unofficial figure"
"QL","Livestock Primary","26","Brunei Darussalam","5313","Laying","1062","Eggs, hen, in shell","2009","2009","1000 Head","1630","F","FAO estimate"
"QL","Livestock Primary","26","Brunei Darussalam","5510","Production","1062","Eggs, hen, in shell","2009","2009","tonnes","6847","*","Unofficial figure"
"QL","Livestock Primary","26","Brunei Darussalam","5313","Laying","1062","Eggs, hen, in shell","2010","2010","1000 Head","1720","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","26","Brunei Darussalam","5510","Production","1062","Eggs, hen, in shell","2010","2010","tonnes","7015","*","Unofficial figure"
"QL","Livestock Primary","26","Brunei Darussalam","5313","Laying","1062","Eggs, hen, in shell","2011","2011","1000 Head","1700","F","FAO estimate"
"QL","Livestock Primary","26","Brunei Darussalam","5510","Production","1062","Eggs, hen, in shell","2011","2011","tonnes","7088","*","Unofficial figure"
"QL","Livestock Primary","26","Brunei Darussalam","5313","Laying","1062","Eggs, hen, in shell","2012","2012","1000 Head","1700","F","FAO estimate"
"QL","Livestock Primary","26","Brunei Darussalam","5510","Production","1062","Eggs, hen, in shell","2012","2012","tonnes","7068","*","Unofficial figure"
"QL","Livestock Primary","26","Brunei Darussalam","5313","Laying","1062","Eggs, hen, in shell","2013","2013","1000 Head","1700","F","FAO estimate"
"QL","Livestock Primary","26","Brunei Darussalam","5510","Production","1062","Eggs, hen, in shell","2013","2013","tonnes","7039","*","Unofficial figure"
"QL","Livestock Primary","26","Brunei Darussalam","5313","Laying","1062","Eggs, hen, in shell","2014","2014","1000 Head","1700","F","FAO estimate"
"QL","Livestock Primary","26","Brunei Darussalam","5510","Production","1062","Eggs, hen, in shell","2014","2014","tonnes","7184","*","Unofficial figure"
"QL","Livestock Primary","26","Brunei Darussalam","5313","Laying","1062","Eggs, hen, in shell","2015","2015","1000 Head","2072","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","26","Brunei Darussalam","5510","Production","1062","Eggs, hen, in shell","2015","2015","tonnes","7453","*","Unofficial figure"
"QL","Livestock Primary","26","Brunei Darussalam","5313","Laying","1062","Eggs, hen, in shell","2016","2016","1000 Head","1900","F","FAO estimate"
"QL","Livestock Primary","26","Brunei Darussalam","5510","Production","1062","Eggs, hen, in shell","2016","2016","tonnes","7788","*","Unofficial figure"
"QL","Livestock Primary","26","Brunei Darussalam","5313","Laying","1062","Eggs, hen, in shell","2017","2017","1000 Head","1980","F","FAO estimate"
"QL","Livestock Primary","26","Brunei Darussalam","5510","Production","1062","Eggs, hen, in shell","2017","2017","tonnes","8350","*","Unofficial figure"
"QL","Livestock Primary","26","Brunei Darussalam","5313","Laying","1062","Eggs, hen, in shell","2018","2018","1000 Head","2070","F","FAO estimate"
