Domain Code,Domain,Area Code,Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","26","Brunei Darussalam","7271","Temperature change","7020","Meteorological year","2000","2000","°C","0.448","Fc","Calculated data"
"ET","Temperature change","26","Brunei Darussalam","7271","Temperature change","7020","Meteorological year","2001","2001","°C","0.541","Fc","Calculated data"
"ET","Temperature change","26","Brunei Darussalam","7271","Temperature change","7020","Meteorological year","2002","2002","°C","0.678","Fc","Calculated data"
"ET","Temperature change","26","Brunei Darussalam","7271","Temperature change","7020","Meteorological year","2003","2003","°C","0.8","Fc","Calculated data"
"ET","Temperature change","26","Brunei Darussalam","7271","Temperature change","7020","Meteorological year","2004","2004","°C","0.583","Fc","Calculated data"
"ET","Temperature change","26","Brunei Darussalam","7271","Temperature change","7020","Meteorological year","2005","2005","°C","0.867","Fc","Calculated data"
"ET","Temperature change","26","Brunei Darussalam","7271","Temperature change","7020","Meteorological year","2006","2006","°C","0.541","Fc","Calculated data"
"ET","Temperature change","26","Brunei Darussalam","7271","Temperature change","7020","Meteorological year","2007","2007","°C","0.546","Fc","Calculated data"
"ET","Temperature change","26","Brunei Darussalam","7271","Temperature change","7020","Meteorological year","2008","2008","°C","0.381","Fc","Calculated data"
"ET","Temperature change","26","Brunei Darussalam","7271","Temperature change","7020","Meteorological year","2009","2009","°C","0.826","Fc","Calculated data"
"ET","Temperature change","26","Brunei Darussalam","7271","Temperature change","7020","Meteorological year","2010","2010","°C","0.877","Fc","Calculated data"
"ET","Temperature change","26","Brunei Darussalam","7271","Temperature change","7020","Meteorological year","2011","2011","°C","0.502","Fc","Calculated data"
"ET","Temperature change","26","Brunei Darussalam","7271","Temperature change","7020","Meteorological year","2012","2012","°C","0.678","Fc","Calculated data"
"ET","Temperature change","26","Brunei Darussalam","7271","Temperature change","7020","Meteorological year","2013","2013","°C","0.846","Fc","Calculated data"
"ET","Temperature change","26","Brunei Darussalam","7271","Temperature change","7020","Meteorological year","2014","2014","°C","0.785","Fc","Calculated data"
"ET","Temperature change","26","Brunei Darussalam","7271","Temperature change","7020","Meteorological year","2015","2015","°C","1.004","Fc","Calculated data"
"ET","Temperature change","26","Brunei Darussalam","7271","Temperature change","7020","Meteorological year","2016","2016","°C","1.477","Fc","Calculated data"
"ET","Temperature change","26","Brunei Darussalam","7271","Temperature change","7020","Meteorological year","2017","2017","°C","1.07","Fc","Calculated data"
"ET","Temperature change","26","Brunei Darussalam","7271","Temperature change","7020","Meteorological year","2018","2018","°C","0.969","Fc","Calculated data"
"ET","Temperature change","115","Cambodia","7271","Temperature change","7020","Meteorological year","2000","2000","°C","0.18","Fc","Calculated data"
"ET","Temperature change","115","Cambodia","7271","Temperature change","7020","Meteorological year","2001","2001","°C","0.595","Fc","Calculated data"
"ET","Temperature change","115","Cambodia","7271","Temperature change","7020","Meteorological year","2002","2002","°C","0.629","Fc","Calculated data"
"ET","Temperature change","115","Cambodia","7271","Temperature change","7020","Meteorological year","2003","2003","°C","0.649","Fc","Calculated data"
"ET","Temperature change","115","Cambodia","7271","Temperature change","7020","Meteorological year","2004","2004","°C","0.491","Fc","Calculated data"
"ET","Temperature change","115","Cambodia","7271","Temperature change","7020","Meteorological year","2005","2005","°C","0.664","Fc","Calculated data"
"ET","Temperature change","115","Cambodia","7271","Temperature change","7020","Meteorological year","2006","2006","°C","0.637","Fc","Calculated data"
"ET","Temperature change","115","Cambodia","7271","Temperature change","7020","Meteorological year","2007","2007","°C","0.517","Fc","Calculated data"
"ET","Temperature change","115","Cambodia","7271","Temperature change","7020","Meteorological year","2008","2008","°C","0.378","Fc","Calculated data"
"ET","Temperature change","115","Cambodia","7271","Temperature change","7020","Meteorological year","2009","2009","°C","0.338","Fc","Calculated data"
"ET","Temperature change","115","Cambodia","7271","Temperature change","7020","Meteorological year","2010","2010","°C","1.107","Fc","Calculated data"
"ET","Temperature change","115","Cambodia","7271","Temperature change","7020","Meteorological year","2011","2011","°C","0.315","Fc","Calculated data"
"ET","Temperature change","115","Cambodia","7271","Temperature change","7020","Meteorological year","2012","2012","°C","0.788","Fc","Calculated data"
"ET","Temperature change","115","Cambodia","7271","Temperature change","7020","Meteorological year","2013","2013","°C","0.947","Fc","Calculated data"
"ET","Temperature change","115","Cambodia","7271","Temperature change","7020","Meteorological year","2014","2014","°C","0.54","Fc","Calculated data"
"ET","Temperature change","115","Cambodia","7271","Temperature change","7020","Meteorological year","2015","2015","°C","1.061","Fc","Calculated data"
"ET","Temperature change","115","Cambodia","7271","Temperature change","7020","Meteorological year","2016","2016","°C","1.373","Fc","Calculated data"
"ET","Temperature change","115","Cambodia","7271","Temperature change","7020","Meteorological year","2017","2017","°C","1.05","Fc","Calculated data"
"ET","Temperature change","115","Cambodia","7271","Temperature change","7020","Meteorological year","2018","2018","°C","0.725","Fc","Calculated data"
"ET","Temperature change","101","Indonesia","7271","Temperature change","7020","Meteorological year","2000","2000","°C","0.229","Fc","Calculated data"
"ET","Temperature change","101","Indonesia","7271","Temperature change","7020","Meteorological year","2001","2001","°C","0.495","Fc","Calculated data"
"ET","Temperature change","101","Indonesia","7271","Temperature change","7020","Meteorological year","2002","2002","°C","0.567","Fc","Calculated data"
"ET","Temperature change","101","Indonesia","7271","Temperature change","7020","Meteorological year","2003","2003","°C","0.571","Fc","Calculated data"
"ET","Temperature change","101","Indonesia","7271","Temperature change","7020","Meteorological year","2004","2004","°C","0.517","Fc","Calculated data"
"ET","Temperature change","101","Indonesia","7271","Temperature change","7020","Meteorological year","2005","2005","°C","0.669","Fc","Calculated data"
"ET","Temperature change","101","Indonesia","7271","Temperature change","7020","Meteorological year","2006","2006","°C","0.386","Fc","Calculated data"
"ET","Temperature change","101","Indonesia","7271","Temperature change","7020","Meteorological year","2007","2007","°C","0.443","Fc","Calculated data"
